strain	strain_name	date	country
AF304460	229E	2001-07-11	None
MZ712010	Human coronavirus 229E KBPV-VR-9	2017-06-XX	South Korea
OK625404	Human coronavirus 229E ATCC VR-740	2017-XX-XX	South Korea
KF293664	229E	2013-10-01	Sweden
KF293665	229E	2013-10-01	Sweden
KF293666	229E	2013-10-01	Sweden
OK662398	Human coronavirus 229E TKU-2021B	2021-XX-XX	Finland
X69721	None	2001-07-13	None
KU291448	Human coronavirus 229E HCoV-229E/BN1/GER/2015	2015-XX-XX	Germany
KY369909	Human coronavirus 229E HCoV_229E/Seattle/USA/SC677/2016	2016-XX-XX	USA
KY621348	Human coronavirus 229E HCoV_229E/Seattle/USA/SC379/2016	2016-XX-XX	USA
KY674914	Human coronavirus 229E HCoV_229E/Seattle/USA/SC399/2016	2016-XX-XX	USA
KY369913	Human coronavirus 229E HCoV_229E/Seattle/USA/SC1073/2016	2016-XX-XX	USA
KY369908	Human coronavirus 229E HCoV_229E/Seattle/USA/SC579/2016	2016-XX-XX	USA
KY967357	Human coronavirus 229E HCoV_229E/Seattle/USA/SC2872/2015	2015-XX-XX	USA
KY983587	Human coronavirus 229E HCoV_229E/Seattle/USA/SC3112/2015	2015-XX-XX	USA
MT438697	Human coronavirus 229E HCoV-229E/USA/ACRI_0244/2017	2017-02-24	USA
MT438699	Human coronavirus 229E HCoV-229E/USA/ACRI_0246/2017	2017-02-27	USA
MT438698	Human coronavirus 229E HCoV-229E/USA/ACRI_0256/2017	2017-02-24	USA
MF542265	229E/Haiti-1/2016	2016-03-XX	Haiti
KY684760	Human coronavirus 229E HCoV_229E/Seattle/USA/SC2282/2017	2016-XX-XX	USA
MT118677	Human coronavirus 229E 2018_9879	2018-XX-XX	USA
MW532105	229E/China/05/2017	2017-09-06	China
MW202340	None	2018-XX-XX	USA
LC654446	None	2020-XX-XX	Japan
MN306046	Human coronavirus 229E HCoV_229E/Seattle/USA/SC0865/2019	2019-XX-XX	USA
ON729316	Human coronavirus 229E SC0678	2019-XX-XX	USA
MW587037	Human coronavirus 229E S0970XLQ	2016-XX-XX	China
MW587038	Human coronavirus 229E S0959FBW	2016-XX-XX	China
OK073077	Human coronavirus 229E R2	2018-XX-XX	China
OK073078	Human coronavirus 229E R10	2017-XX-XX	China
OK073079	Human coronavirus 229E R22	2018-XX-XX	China
OK073082	Human coronavirus 229E R41	2018-XX-XX	China
OK073083	Human coronavirus 229E RS15	2017-XX-XX	China
OK073084	Human coronavirus 229E P42	2017-XX-XX	China
MW532104	229E/China/04/2017	2017-08-02	China
MT797634	Human coronavirus 229E HK20-42	2020-01-XX	Hong Kong
MW532103	229E/China/03/2017	2017-05-02	China
MN369046	Human coronavirus 229E HCoV_229E/Seattle/USA/SC9724/2018	2018-XX-XX	USA
LC654445	None	2020-XX-XX	Japan
KY369912	Human coronavirus 229E HCoV_229E/Seattle/USA/SC9731/2016	2016-XX-XX	USA
KY369914	Human coronavirus 229E HCoV_229E/Seattle/USA/SC9773/2016	2016-XX-XX	USA
MW587035	Human coronavirus 229E S0677SP	2016-XX-XX	China
MW587036	Human coronavirus 229E S1004CFR	2016-XX-XX	China
ON791801	Human coronavirus 229E LC22	2022-XX-XX	USA
JX503060	Human coronavirus 229E 0349	2010-XX-XX	Netherlands
KY996417	229E/UF-1/2016	2016-11-23	USA
MW532106	229E/China/01/2009	2009-06-09	China
MW532107	229E/China/02/2009	2009-04-15	China
AB691767	None	2008-XX-XX	Japan
OK073080	Human coronavirus 229E R35	2018-XX-XX	China
OK073081	Human coronavirus 229E R39	2018-XX-XX	China
MT438700	Human coronavirus 229E HCoV-229E/USA/UAMS_DID_0108/2017	2017-01-27	USA
KY674919	Human coronavirus 229E N08-434B	2016-XX-XX	USA
KY369910	Human coronavirus 229E HCoV_229E/Seattle/USA/SC1143/2016	2016-XX-XX	USA
KY369911	Human coronavirus 229E HCoV_229E/Seattle/USA/SC1212/2016	2016-XX-XX	USA
MT438696	Human coronavirus 229E HCoV-229E/USA/UNM_0186/2016	2016-02-09	USA
MH828489	Human coronavirus 229E vzcorona-a3	2013-10-22	Viet Nam
JX503061	Human coronavirus 229E J0304	2009-XX-XX	Italy
KF514429	Human coronavirus 229E 229E/human/USA/892-11/1989	1989-02-07	USA
KF514430	Human coronavirus 229E 229E/human/USA/933-50/1993	1993-03-18	USA
KF514432	Human coronavirus 229E 229E/human/USA/932-72/1993	1993-02-22	USA
KF514433	Human coronavirus 229E 229E/human/USA/933-40/1993	1993-03-11	USA
KF514431	Human coronavirus 229E 229E/human/USA/953-49/1995	1995-03-23	USA
AB691764	None	2004-XX-XX	Japan
AB691765	None	2004-XX-XX	Japan
AB691766	None	2004-XX-XX	Japan
MW039392	Human coronavirus 229E HCoV 229E/human/ITA/TE5146/2020	2020-03-18	Italy
