strain	strain_name	date	country	host
OK323264.1	None	2019-XX-XX	China	Homo sapiens
OK323265.1	None	2019-XX-XX	China	Homo sapiens
OK323266.1	None	2019-XX-XX	China	Homo sapiens
OK323267.1	None	2019-XX-XX	China	Homo sapiens
OK323268.1	None	2019-XX-XX	China	Homo sapiens
MH828479.1	vzhadvb2	2014-11-06	Viet Nam	Homo sapiens
MW815973.1	HAdV7/China/Hubei/18B4089967/2019-06-21	2019-06-21	China	Homo sapiens
MW815974.1	HAdV7/China/Hubei/18B4092713/2019-01-15	2019-01-15	China	Homo sapiens
MW815975.1	HAdV7/China/Hubei/18B4092780/2019-02-02	2019-02-02	China	Homo sapiens
MW815976.1	HAdV7/China/Hubei/18B4092784/2019-02-06	2019-02-06	China	Homo sapiens
MW815977.1	HAdV7/China/Hubei/18S4008755/2019-02-12	2019-02-12	China	Homo sapiens
MW815978.1	HAdV7/China/Hubei/18S4008778/2018-12-26	2018-12-26	China	Homo sapiens
MW815979.1	HAdV7/China/Hubei/18S4092779/2019-01-10	2019-01-10	China	Homo sapiens
MW815980.1	HAdV7/China/Hubei/18S4098016/2019-01-28	2019-01-28	China	Homo sapiens
MW815981.1	HAdV7/China/Hubei/19B0008968/2019-05-03	2019-05-03	China	Homo sapiens
MW815982.1	HAdV7/China/Hubei/19B0009033/2019-04-20	2019-04-20	China	Homo sapiens
MW815983.1	HAdV7/China/Hubei/19B0009034/2019-04-11	2019-04-11	China	Homo sapiens
MW815984.1	HAdV7/China/Hubei/19B0009036/2019-04-16	2019-04-16	China	Homo sapiens
MW815985.1	HAdV7/China/Hubei/19B0009038/2019-04-16	2019-04-16	China	Homo sapiens
MW815986.1	HAdV7/China/Hubei/19B0009040/2019-04-19	2019-04-19	China	Homo sapiens
MW815987.1	HAdV7/China/Hubei/19B0009042/2019-04-25	2019-04-25	China	Homo sapiens
MW815988.1	HAdV7/China/Hubei/19B0009046/2019-04-22	2019-04-22	China	Homo sapiens
MW815989.1	HAdV7/China/Hubei/19B0009061/2019-05-09	2019-05-09	China	Homo sapiens
MW815990.1	HAdV7/China/Hubei/19B0009067/2019-04-29	2019-04-29	China	Homo sapiens
MW815991.1	HAdV7/China/Hubei/19B0009068/2019-05-03	2019-05-03	China	Homo sapiens
MW815992.1	HAdV7/China/Hubei/19B0009080/2019-05-14	2019-05-14	China	Homo sapiens
MW815993.1	HAdV7/China/Hubei/19B0009082/2019-05-18	2019-05-18	China	Homo sapiens
